DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
2019-04-08,11:10,BROOKLYN,11201,40.70235,-73.98471,"(40.70235, -73.98471)",FRONT STREET                    ,BRIDGE STREET,,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,4112288,Sedan,Concrete Mixer,,,
2019-04-08,11:10,BROOKLYN,11219,40.629135,-74.00544,"(40.629135, -74.00544)",,,6406      11 AVENUE                     ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4112345,Station Wagon/Sport Utility Vehicle,Sedan,,,
2019-04-08,11:13,MANHATTAN,10019,,,,WEST 57 STREET                  ,11 AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,4111028,Sedan,Box Truck,,,
2019-04-08,11:15,BRONX,10461,40.85363,-73.843346,"(40.85363, -73.843346)",,,2008      EASTCHESTER ROAD              ,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4111904,Sedan,Sedan,,,
2019-04-08,11:15,,,40.751,-73.82571,"(40.751, -73.82571)",MAIN STREET                     ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,,,4111322,Bus,Sedan,Sedan,,
2019-04-08,11:15,QUEENS,11385,40.700592,-73.85457,"(40.700592, -73.85457)",WOODHAVEN BOULEVARD             ,FOREST PARK DRIVE,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4111032,Sedan,Pick-up Truck,,,
2019-04-08,11:15,,,40.74614,-73.81417,"(40.74614, -73.81417)",KISSENA BOULEVARD               ,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4111334,Sedan,Sedan,,,
2019-04-08,11:20,,,40.793324,-73.974625,"(40.793324, -73.974625)",WEST 93 STREET                  ,,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4111589,Box Truck,Sedan,,,
2019-04-08,11:21,,,,,,FLATBUSH AVENUE                 ,GRAND ARMY PLAZA,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4111052,Sedan,Station Wagon/Sport Utility Vehicle,,,
2019-04-08,11:25,BROOKLYN,11233,40.6835,-73.93516,"(40.6835, -73.93516)",LEWIS AVENUE                    ,HALSEY STREET,,0,0,0,0,0,0,0,0,Alcohol Involvement,Following Too Closely,,,,4111632,Taxi,Sedan,,,
2019-04-08,11:30,MANHATTAN,10012,40.72663,-73.99232,"(40.72663, -73.99232)",,,53        GREAT JONES STREET            ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4111604,Station Wagon/Sport Utility Vehicle,Taxi,,,
2019-04-08,11:30,,,40.801815,-73.93929,"(40.801815, -73.93929)",EAST 121 STREET                 ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4112320,Station Wagon/Sport Utility Vehicle,,,,
2019-04-08,11:30,,,,,,FDR DRIVE                       ,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4112010,Sedan,Sedan,,,
2019-04-08,11:40,BROOKLYN,11218,40.643894,-73.96873,"(40.643894, -73.96873)",BEVERLEY ROAD                   ,STRATFORD ROAD,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4111217,Station Wagon/Sport Utility Vehicle,Box Truck,,,
2019-04-08,11:40,,,40.831924,-73.85104,"(40.831924, -73.85104)",CASTLE HILL AVENUE              ,,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4111154,Station Wagon/Sport Utility Vehicle,Bike,,,
2019-04-08,11:45,MANHATTAN,10013,40.719364,-74.0095,"(40.719364, -74.0095)",,,179       FRANKLIN STREET               ,0,0,0,0,0,0,0,0,Unspecified,,,,,4111476,Tractor Truck Diesel,,,,
2019-04-08,11:45,QUEENS,11101,40.744453,-73.92983,"(40.744453, -73.92983)",35 STREET                       ,QUEENS BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,,,,,4111063,Sedan,,,,
2019-04-08,11:47,QUEENS,11426,40.72318,-73.72795,"(40.72318, -73.72795)",,,239-15    JAMAICA AVENUE                ,0,0,0,0,0,0,0,0,Backing Unsafely,,,,,4111133,Box Truck,,,,
2019-04-08,11:50,BRONX,10473,40.820683,-73.86809,"(40.820683, -73.86809)",,,1710      LAFAYETTE AVENUE              ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4111555,Sedan,,,,
2019-04-08,11:50,MANHATTAN,10007,40.714302,-74.005104,"(40.714302, -74.005104)",,,29        READE STREET                  ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4111571,Van,Sedan,,,
2019-04-08,11:50,,,40.81175,-73.93144,"(40.81175, -73.93144)",MAJOR DEEGAN EXPRESSWAY         ,,,3,0,0,0,0,0,3,0,Following Too Closely,Unspecified,,,,4111094,Sedan,Sedan,,,
2019-04-08,11:51,BROOKLYN,11220,40.63246,-74.009125,"(40.63246, -74.009125)",63 STREET                       ,9 AVENUE,,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,4111204,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,
2019-04-08,12:00,BROOKLYN,11206,40.710934,-73.93547,"(40.710934, -73.93547)",BOGART STREET                   ,MEADOW STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4111360,Station Wagon/Sport Utility Vehicle,,,,
2019-04-08,12:00,BROOKLYN,11215,40.671894,-73.98665,"(40.671894, -73.98665)",,,271       6 STREET                      ,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4111432,Station Wagon/Sport Utility Vehicle,Box Truck,,,
2019-04-08,12:00,QUEENS,11103,40.767204,-73.910095,"(40.767204, -73.910095)",25 AVENUE                       ,42 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4111397,Sedan,Taxi,,,
2019-04-08,12:00,QUEENS,11422,40.65218,-73.73006,"(40.65218, -73.73006)",,,257-57    149 ROAD                      ,0,0,0,0,0,0,0,0,Unspecified,,,,,4111135,Sedan,,,,
2019-04-08,12:00,,,40.68756,-73.864716,"(40.68756, -73.864716)",76 STREET                       ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4111937,Sedan,,,,
2019-04-08,12:00,,,,,,CLEARVIEW EXPRESSWAY            ,NORTHERN BOULEVARD,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4111180,Station Wagon/Sport Utility Vehicle,Motorcycle,,,
2019-04-08,12:00,,,40.8275,-73.886406,"(40.8275, -73.886406)",HOME STREET                     ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4111151,Station Wagon/Sport Utility Vehicle,,,,
2019-04-08,12:00,,,40.677166,-73.87775,"(40.677166, -73.87775)",LIBERTY AVENUE                  ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4111191,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2019-04-08,12:00,QUEENS,11101,40.753273,-73.92365,"(40.753273, -73.92365)",,,36-21     STEINWAY STREET               ,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4111398,Motorcycle,Station Wagon/Sport Utility Vehicle,,,
2019-04-08,12:10,MANHATTAN,10010,40.74292,-73.99075,"(40.74292, -73.99075)",,,49        WEST 24 STREET                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4111425,Sedan,Taxi,,,
2019-04-08,12:10,QUEENS,11354,40.763958,-73.82814,"(40.763958, -73.82814)",UNION STREET                    ,NORTHERN BOULEVARD,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4111335,Sedan,Sedan,,,
2019-04-08,12:12,BROOKLYN,11222,40.727386,-73.93591,"(40.727386, -73.93591)",,,42        BRIDGEWATER STREET            ,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4111478,Sedan,Box Truck,,,
2019-04-08,12:12,BROOKLYN,11226,40.65156,-73.94967,"(40.65156, -73.94967)",,,1424      NOSTRAND AVENUE               ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4111128,Sedan,Station Wagon/Sport Utility Vehicle,,,
2019-04-08,12:15,BRONX,10474,40.816273,-73.89287,"(40.816273, -73.89287)",LAFAYETTE AVENUE                ,GARRISON AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4111142,Station Wagon/Sport Utility Vehicle,Box Truck,,,
